1.8713,0.67468
1.0112,1.3801
1.3802,1.8574
1.4452,1.6327
1.7394,1.4634
1.0546,1.4464
1.5253,1.5994
0.7031,1.4153
1.1914,1.3518
1.1,0.80815
1.3453,1.9145
1.7368,1.7043
1.5222,1.1699
1.3196,0.84695
1.3209,1.2598
1.9226,1.3981
1.5247,1.7502
1.0267,1.0195
1.0426,1.1183
2.0703,1.8246
1.0837,1.3607
1.1868,1.9007
1.9307,2.0471
0.39597,1.6837
1.5774,1.3067
1.4772,1.306
1.2687,0.64364
1.7245,1.5213
1.812,1.4433
1.9215,1.924
1.0726,1.4412
1.3259,1.6175
0.77328,1.3364
2.0766,1.2365
0.83,0.87426
1.807,0.91293
1.2,0.96877
1.3469,1.3764
1.3575,2.6525
1.5175,1.8183
1.4642,2.2167
1.6818,1.3599
1.6972,1.8785
1.922,1.5597
1.7497,0.77103
0.74421,1.3892
1.6111,1.2857
1.4222,0.77417
1.8921,0.92662
0.84759,1.6997
0.99656,1.5315
1.4828,1.3229
0.94434,0.88394
1.2775,1.4665
1.2015,1.8084
1.9564,2.3134
1.5461,1.5366
0.5984,1.8663
1.8066,1.7033
1.7392,1.2462
2.7838,2.0812
1.6599,1.5392
1.8557,1.6139
1.0581,2.1365
2.1714,1.3607
0.82789,1.9895
2.2464,1.6465
1.5155,1.8351
2.0081,2.0846
1.337,1.0222
1.6227,1.1324
1.6197,1.2947
1.3566,1.4671
1.3434,0.81941
1.7927,1.3752
2.1091,1.354
1.5214,2.0543
1.0866,0.97178
1.5207,1.7618
1.6322,1.6024
1.6895,1.6828
1.6114,0.62288
1.7702,1.321
1.2355,1.9599
2.3855,1.5885
1.3043,1.4476
1.9621,1.7102
1.2605,1.1372
1.1932,0.88741
1.7233,0.97417
1.2756,2.0307
1.8896,1.6925
1.5224,1.9314
1.6644,2.6835
1.4153,1.827
1.3323,1.4003
1.9397,1.5025
1.6978,1.3828
1.2948,1.3216
0.9322,1.5278
1.2513,1.8144
